Región de residencia;Provincia de residencia;Población 2010;Población 2022;Tasa de crecimiento promedio anual 2010_2022
Sierra;Azuay;710766;801609;1.001856665
Sierra;Bolívar;183742;199078;0.667729334
Sierra;Cañar;224433;227578;0.115912198
Sierra;Carchi;164162;172828;0.428497132
Sierra;Cotopaxi;407713;470210;1.187923469
Sierra;Chimborazo;458560;471933;0.239439681
Costa;El Oro;597991;714592;1.483789527
Costa;Esmeraldas;490350;553900;1.015076022
Costa;Guayas;3644098;4391923;1.554775887
Sierra;Imbabura;402307;469879;1.293240612
Sierra;Loja;450342;485421;0.624791886
Costa;Los Ríos;778135;898652;1.199417586
Costa;Manabí;1391561;1592840;1.125256583
Amazonía;Morona Santiago;147655;192508;2.209484768
Amazonía;Napo;102861;131675;2.057045736
Amazonía;Pastaza;83478;111915;2.441856085
Sierra;Pichincha;2578229;3089473;1.506793609
Sierra;Tungurahua;502921;563532;0.9478257
Amazonía;Zamora Chinchipe;90407;110973;1.707264014
Insular;Galápagos;23630;28583;1.58506826
Amazonía;Sucumbíos;174481;199014;1.095827296
Amazonía;Orellana;134689;182166;2.51510107
Costa;Santo Domingo De Los Tsáchilas;410028;492969;1.534473008
Costa;Santa Elena;306538;385735;1.914199912
